R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_Stance,R_DOB,SLpM_x,Str_Acc_x,SApM_x,Str_Def_x,TD_Avg_x,TD_Acc_x,TD_Def_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,B_Stance,B_DOB,SLpM_y,Str_Acc_y,SApM_y,Str_Def_y,TD_Avg_y,TD_Acc_y,TD_Def_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms
Tyson Griffin,Nik Lentz,1,0,31 of 60,34 of 59,51%,57%,66 of 102,75 of 102,8 of 13,4 of 8,61%,50%,1,3,0,0,7:07,3:24,19 of 48,19 of 44,5 of 5,9 of 9,7 of 7,6 of 6,23 of 49,27 of 45,6 of 9,4 of 6,2 of 2,3 of 8,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,"November 20, 2010","Auburn Hills, Michigan, USA",Lightweight Bout,Nik Lentz,Orthodox,"Apr 20, 1984",3.71,41%,2.3,65%,1.87,46%,59%,0.9,167.64000000000001,145.0,172.72,Orthodox,"Aug 13, 1984",3.44,47%,3.25,50%,3.3,32%,43%,1.2,172.72,145.0,172.72
Kyle Noke,Rob Kimmons,0,0,25 of 38,16 of 30,65%,53%,43 of 57,35 of 49,3 of 4,0 of 1,75%,0%,2,0,0,1,4:02,1:20,14 of 27,13 of 27,7 of 7,3 of 3,4 of 4,0 of 0,2 of 7,9 of 20,4 of 5,4 of 6,19 of 26,3 of 4,Submission,2,1:33,3 Rnd (5-5-5),Kevin Mulhall,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Middleweight Bout,Kyle Noke,Southpaw,"Mar 18, 1980",3.23,50%,2.09,64%,1.53,54%,66%,0.8,185.42000000000002,170.0,193.04,Orthodox,"Jan 30, 1981",1.86,48%,4.79,38%,2.08,46%,25%,2.4,177.8,185.0,185.42000000000002
Amir Sadollah,Peter Sobotta,0,0,90 of 209,34 of 126,43%,26%,104 of 223,35 of 127,0 of 0,0 of 5,---,0%,0,0,0,0,0:47,3:24,27 of 128,25 of 110,14 of 27,4 of 10,49 of 54,5 of 6,75 of 189,31 of 118,13 of 18,3 of 8,2 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Welterweight Bout,Amir Sadollah,Orthodox,"Aug 27, 1980",4.71,46%,3.55,60%,0.57,27%,60%,0.3,177.8,170.0,190.5,Southpaw,"Jan 11, 1987",2.14,40%,2.9,58%,1.53,32%,77%,0.5,182.88,170.0,190.5
Dennis Siver,Andre Winner,1,0,30 of 71,13 of 44,42%,29%,37 of 81,13 of 44,0 of 1,0 of 0,0%,---,1,0,0,0,0:35,0:00,15 of 52,2 of 27,4 of 6,5 of 7,11 of 13,6 of 10,25 of 61,13 of 44,1 of 3,0 of 0,4 of 7,0 of 0,Submission,1,3:37,3 Rnd (5-5-5),Kevin Mulhall,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Lightweight Bout,Dennis Siver,Orthodox,"Jan 13, 1979",3.87,32%,2.67,65%,0.87,32%,65%,0.3,167.64000000000001,145.0,177.8,Orthodox,"Nov 09, 1981",2.52,33%,4.57,51%,0.0,0%,74%,0.0,180.34,155.0,185.42000000000002
Duane Ludwig,Nick Osipczak,0,2,99 of 231,60 of 110,42%,54%,106 of 238,84 of 135,0 of 4,2 of 5,0%,40%,0,0,0,0,1:03,3:57,49 of 153,30 of 71,38 of 61,9 of 13,12 of 17,21 of 26,70 of 184,46 of 86,28 of 46,6 of 10,1 of 1,8 of 14,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Welterweight Bout,Duane Ludwig,Orthodox,"Aug 04, 1978",4.62,44%,3.05,57%,0.43,25%,59%,0.1,177.8,170.0,177.8,Orthodox,"Dec 30, 1984",2.83,50%,3.77,50%,1.2,45%,71%,1.0,187.96,170.0,193.04
Nate Marquardt,Yushin Okami,0,0,21 of 61,25 of 83,34%,30%,27 of 68,40 of 98,3 of 4,1 of 9,75%,11%,2,0,0,0,2:52,4:09,12 of 46,23 of 80,5 of 10,2 of 3,4 of 5,0 of 0,16 of 51,22 of 80,5 of 8,2 of 2,0 of 2,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Middleweight Bout,Yushin Okami,Orthodox,"Apr 20, 1979",2.71,49%,2.32,55%,1.87,51%,70%,0.8,182.88,185.0,187.96,Southpaw,"Jul 21, 1981",2.06,38%,2.25,60%,1.98,39%,84%,0.5,187.96,170.0,190.5
Krzysztof Soszynski,Goran Reljic,0,0,57 of 114,23 of 74,50%,31%,107 of 168,74 of 133,0 of 1,2 of 6,0%,33%,3,0,0,0,4:03,5:38,35 of 89,14 of 60,6 of 7,7 of 9,16 of 18,2 of 5,34 of 84,23 of 73,9 of 10,0 of 0,14 of 20,0 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Light Heavyweight Bout,Krzysztof Soszynski,Open Stance,"Aug 02, 1977",3.37,39%,3.13,58%,0.52,25%,71%,1.0,185.42000000000002,205.0,195.58,Southpaw,"Mar 20, 1984",1.69,37%,2.69,59%,1.69,50%,33%,1.1,190.5,205.0,205.74
Kris McCray,Carlos Eduardo Rocha,0,0,3 of 8,2 of 4,37%,50%,14 of 19,3 of 5,2 of 2,0 of 0,100%,---,0,1,0,1,1:29,0:24,1 of 4,1 of 3,2 of 3,0 of 0,0 of 1,1 of 1,1 of 5,2 of 4,0 of 1,0 of 0,2 of 2,0 of 0,Submission,1,2:21,3 Rnd (5-5-5),Marc Goddard,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Welterweight Bout,Carlos Eduardo Rocha,Orthodox,"Sep 24, 1981",2.69,45%,2.57,54%,2.88,55%,38%,0.0,182.88,170.0,193.04,Orthodox,"Jul 12, 1981",1.24,34%,1.85,55%,0.0,0%,52%,1.4,177.8,170.0,185.42000000000002
Seth Petruzelli,Karlos Vemola,0,0,3 of 10,18 of 42,30%,42%,12 of 22,43 of 76,0 of 0,2 of 2,---,100%,2,0,0,0,0:00,3:18,2 of 8,17 of 41,1 of 2,1 of 1,0 of 0,0 of 0,2 of 7,4 of 12,1 of 2,0 of 0,0 of 1,14 of 30,KO/TKO,1,3:46,3 Rnd (5-5-5),Leon Roberts,"November 13, 2010","Oberhausen, North Rhine-Westphalia, Germany",Light Heavyweight Bout,Karlos Vemola,Orthodox,"Dec 03, 1979",2.17,41%,2.08,55%,0.46,50%,47%,2.3,182.88,205.0,193.04,Orthodox,"Jul 03, 1985",1.67,44%,2.13,37%,1.93,25%,31%,1.7,182.88,185.0,190.5
Mike Guymon,Daniel Roberts,0,0,0 of 3,2 of 10,0%,20%,0 of 3,2 of 10,0 of 1,1 of 1,0%,100%,0,1,0,0,0:17,0:02,0 of 3,1 of 8,0 of 0,0 of 0,0 of 0,1 of 2,0 of 3,2 of 10,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,1:13,3 Rnd (5-5-5),Jason Herzog,"October 23, 2010","Anaheim, California, USA",Welterweight Bout,Daniel Roberts,Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,1.87,37%,54%,1.2,182.88,170.0,187.96,Southpaw,"Aug 05, 1980",0.73,20%,2.27,46%,2.46,44%,40%,2.5,177.8,170.0,187.96
