R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_Stance,R_DOB,SLpM_x,Str_Acc_x,SApM_x,Str_Def_x,TD_Avg_x,TD_Acc_x,TD_Def_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,B_Stance,B_DOB,SLpM_y,Str_Acc_y,SApM_y,Str_Def_y,TD_Avg_y,TD_Acc_y,TD_Def_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms
Stipe Miocic,Daniel Cormier,1,0,115 of 187,105 of 183,61%,57%,171 of 244,145 of 223,0 of 6,1 of 2,0%,50%,0,0,0,0,5:52,0:53,67 of 136,70 of 132,31 of 34,11 of 24,17 of 17,24 of 27,101 of 169,95 of 171,14 of 18,10 of 12,0 of 0,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,"August 15, 2020","Las Vegas, Nevada, USA",UFC Heavyweight Title Bout,Stipe Miocic,Orthodox,"Aug 19, 1982",4.9,52%,3.75,55%,1.92,34%,70%,0.0,193.04,240.0,203.2,Orthodox,"Mar 20, 1979",4.25,52%,2.92,54%,1.83,44%,80%,0.4,180.34,235.0,182.88
TJ Brown,Danny Chavez,0,0,43 of 139,49 of 110,30%,44%,59 of 156,52 of 113,0 of 6,4 of 4,0%,100%,0,0,0,0,1:03,2:05,25 of 103,23 of 81,12 of 24,8 of 9,6 of 12,18 of 20,38 of 132,40 of 97,5 of 7,0 of 0,0 of 0,9 of 13,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"August 15, 2020","Las Vegas, Nevada, USA",Featherweight Bout,Danny Chavez,Switch,"May 22, 1990",3.22,42%,2.21,50%,4.92,60%,40%,0.4,175.26,145.0,182.88,Orthodox,"Mar 14, 1987",2.93,39%,4.17,53%,2.5,100%,84%,0.0,172.72,145.0,170.18
Jim Miller,Vinc Pichel,0,0,14 of 39,41 of 78,35%,52%,26 of 57,84 of 124,2 of 2,3 of 5,100%,60%,2,0,1,0,5:10,6:34,6 of 30,27 of 64,5 of 6,11 of 11,3 of 3,3 of 3,7 of 27,15 of 35,4 of 6,9 of 11,3 of 6,17 of 32,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"August 15, 2020","Las Vegas, Nevada, USA",Lightweight Bout,Vinc Pichel,Southpaw,"Aug 30, 1983",2.73,40%,2.99,59%,1.69,43%,46%,1.9,172.72,155.0,180.34,Orthodox,"Nov 23, 1982",3.2,46%,2.28,56%,3.83,60%,20%,0.3,177.8,155.0,182.88
Chris Daukaus,Parker Porter,2,0,37 of 59,17 of 52,62%,32%,45 of 67,18 of 53,0 of 0,0 of 0,---,---,0,0,0,0,0:35,0:00,29 of 49,12 of 44,4 of 6,1 of 4,4 of 4,4 of 4,29 of 50,14 of 47,6 of 7,3 of 5,2 of 2,0 of 0,KO/TKO,1,4:28,3 Rnd (5-5-5),Herb Dean,"August 15, 2020","Las Vegas, Nevada, USA",Heavyweight Bout,Chris Daukaus,Orthodox,"Sep 25, 1989",11.78,61%,3.22,65%,0.0,0%,100%,0.0,190.5,250.0,193.04,Orthodox,"Apr 22, 1985",7.69,49%,7.36,52%,1.65,60%,0%,1.1,182.88,265.0,190.5
Kai Kamaka,Tony Kelley,0,0,114 of 185,114 of 226,61%,50%,138 of 216,185 of 298,5 of 5,0 of 1,100%,0%,0,0,0,0,5:09,0:00,49 of 113,63 of 152,64 of 71,35 of 54,1 of 1,16 of 20,90 of 160,76 of 182,22 of 22,38 of 44,2 of 3,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"August 15, 2020","Las Vegas, Nevada, USA",Featherweight Bout,Kai Kamaka,Orthodox,"Jan 05, 1995",6.58,60%,6.74,49%,3.68,75%,37%,0.6,170.18,145.0,175.26,Switch,"Jan 21, 1987",4.57,47%,4.77,43%,0.0,0%,50%,2.0,175.26,135.0,177.8
Ashley Yoder,Livinha Souza,0,0,32 of 114,46 of 70,28%,65%,89 of 176,70 of 95,0 of 1,1 of 4,0%,25%,0,0,0,0,3:50,2:43,23 of 92,15 of 33,6 of 14,8 of 11,3 of 8,23 of 26,32 of 112,36 of 55,0 of 2,5 of 7,0 of 0,5 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"August 15, 2020","Las Vegas, Nevada, USA",Women's Strawweight Bout,Livinha Souza,Southpaw,"Oct 20, 1987",2.75,39%,3.53,46%,1.33,37%,68%,0.7,170.18,115.0,175.26,Orthodox,"Mar 11, 1991",2.06,45%,3.38,62%,2.4,44%,40%,1.2,160.02,115.0,160.02
Tim Means,Laureano Staropoli,1,0,85 of 147,71 of 161,57%,44%,126 of 189,81 of 172,2 of 6,0 of 1,33%,0%,0,0,0,0,6:07,0:04,55 of 115,47 of 121,23 of 25,19 of 35,7 of 7,5 of 5,61 of 115,70 of 159,22 of 29,1 of 2,2 of 3,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"August 08, 2020","Las Vegas, Nevada, USA",Welterweight Bout,Tim Means,Orthodox,"Feb 20, 1984",5.16,48%,3.58,61%,0.92,41%,64%,0.2,187.96,170.0,190.5,Orthodox,"Feb 27, 1993",4.4,34%,4.58,53%,0.25,20%,57%,0.0,185.42000000000002,170.0,180.34
Kevin Holland,Joaquin Buckley,2,0,79 of 134,40 of 120,58%,33%,86 of 141,41 of 121,0 of 0,0 of 2,---,0%,0,0,0,0,0:12,0:13,45 of 86,6 of 59,18 of 32,31 of 58,16 of 16,3 of 3,71 of 124,33 of 110,5 of 7,7 of 10,3 of 3,0 of 0,KO/TKO,3,0:32,3 Rnd (5-5-5),Mark Smith,"August 08, 2020","Las Vegas, Nevada, USA",Middleweight Bout,Kevin Holland,Orthodox,"Nov 05, 1992",4.14,56%,2.58,56%,1.08,45%,51%,0.7,190.5,185.0,205.74,Southpaw,"Apr 27, 1994",4.58,36%,5.46,51%,0.6,16%,100%,0.0,177.8,185.0,193.04
Nasrat Haqparast,Alexander Munoz,0,0,104 of 215,37 of 144,48%,25%,108 of 219,40 of 147,0 of 0,1 of 8,---,12%,0,0,0,0,0:02,0:54,93 of 201,32 of 136,11 of 14,3 of 5,0 of 0,2 of 3,103 of 214,33 of 140,1 of 1,4 of 4,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"August 08, 2020","Las Vegas, Nevada, USA",Lightweight Bout,Nasrat Haqparast,Southpaw,"Aug 22, 1995",5.81,47%,3.23,74%,0.18,16%,84%,0.0,177.8,155.0,182.88,Switch,"Feb 27, 1990",3.27,40%,5.23,52%,2.5,35%,0%,0.0,175.26,155.0,182.88
Derrick Lewis,Aleksei Oleinik,1,0,35 of 42,2 of 6,83%,33%,35 of 42,3 of 7,1 of 1,1 of 1,100%,100%,0,2,1,1,2:39,2:21,34 of 41,1 of 4,1 of 1,1 of 2,0 of 0,0 of 0,5 of 7,1 of 5,0 of 0,0 of 0,30 of 35,1 of 1,KO/TKO,2,0:21,5 Rnd (5-5-5-5-5),Herb Dean,"August 08, 2020","Las Vegas, Nevada, USA",Heavyweight Bout,Derrick Lewis,Orthodox,"Feb 07, 1985",2.59,50%,2.16,44%,0.52,26%,54%,0.0,190.5,260.0,200.66,Orthodox,"Jun 20, 1977",3.47,50%,3.85,44%,2.38,46%,33%,2.4,187.96,240.0,203.2
Beneil Dariush,Scott Holtzman,1,0,36 of 64,9 of 18,56%,50%,36 of 64,11 of 20,0 of 2,0 of 1,0%,0%,0,0,0,0,1:57,0:24,30 of 57,4 of 12,3 of 4,3 of 4,3 of 3,2 of 2,33 of 60,9 of 18,3 of 4,0 of 0,0 of 0,0 of 0,KO/TKO,1,4:38,3 Rnd (5-5-5),Herb Dean,"August 08, 2020","Las Vegas, Nevada, USA",Lightweight Bout,Beneil Dariush,Southpaw,"May 06, 1989",4.0,49%,2.72,59%,2.03,32%,81%,1.0,177.8,155.0,182.88,Orthodox,"Sep 30, 1983",4.44,49%,3.47,54%,2.16,58%,66%,0.2,175.26,155.0,175.26
Maki Pitolo,Darren Stewart,0,0,12 of 31,13 of 38,38%,34%,14 of 33,14 of 39,1 of 1,0 of 1,100%,0%,0,1,0,0,0:17,0:19,7 of 22,9 of 32,4 of 8,2 of 4,1 of 1,2 of 2,12 of 31,13 of 38,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,3:41,3 Rnd (5-5-5),Chris Tognoni,"August 08, 2020","Las Vegas, Nevada, USA",Middleweight Bout,Darren Stewart,Orthodox,"Nov 24, 1990",4.2,44%,3.71,56%,2.42,52%,55%,0.5,177.8,185.0,190.5,Orthodox,"Dec 30, 1990",3.09,44%,3.09,50%,1.5,40%,65%,0.1,182.88,185.0,187.96
Omari Akhmedov,Chris Weidman,0,0,33 of 91,29 of 56,36%,51%,60 of 118,67 of 98,4 of 8,5 of 16,50%,31%,0,0,0,0,1:34,8:17,25 of 81,25 of 50,7 of 9,4 of 6,1 of 1,0 of 0,21 of 74,17 of 42,8 of 11,1 of 2,4 of 6,11 of 12,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"August 08, 2020","Las Vegas, Nevada, USA",Middleweight Bout,Chris Weidman,Orthodox,"Oct 12, 1987",2.95,35%,2.59,57%,2.63,49%,65%,0.3,182.88,185.0,185.42000000000002,Orthodox,"Jun 17, 1984",3.03,43%,3.15,52%,3.93,47%,65%,0.9,187.96,185.0,198.12
Youssef Zalal,Peter Barrett,1,0,54 of 92,23 of 57,58%,40%,82 of 129,68 of 107,3 of 5,0 of 2,60%,0%,3,0,0,0,6:54,1:34,40 of 74,13 of 43,6 of 10,9 of 12,8 of 8,1 of 2,41 of 70,15 of 48,1 of 3,8 of 9,12 of 19,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"August 08, 2020","Las Vegas, Nevada, USA",Featherweight Bout,Youssef Zalal,Switch,"Sep 04, 1996",2.45,51%,1.56,64%,2.4,40%,56%,1.4,177.8,145.0,182.88,Southpaw,"Aug 10, 1986",4.18,61%,4.32,42%,1.39,22%,66%,0.0,177.8,145.0,185.42000000000002
Irwin Rivera,Ali AlQaisi,0,0,36 of 73,44 of 105,49%,41%,45 of 82,54 of 118,2 of 5,2 of 9,40%,22%,0,1,0,0,1:02,1:55,30 of 61,28 of 86,5 of 10,7 of 9,1 of 2,9 of 10,28 of 62,36 of 96,5 of 8,8 of 9,3 of 3,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"August 08, 2020","Las Vegas, Nevada, USA",Bantamweight Bout,Irwin Rivera,Southpaw,"Feb 14, 1989",3.36,44%,5.07,57%,1.0,16%,70%,0.0,167.64000000000001,135.0,170.18,Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.5,29%,60%,1.0,167.64000000000001,135.0,172.72
Gavin Tucker,Justin Jaynes,0,1,87 of 211,41 of 101,41%,40%,88 of 212,42 of 103,1 of 2,0 of 1,50%,0%,4,1,1,1,1:24,0:38,61 of 177,30 of 84,23 of 30,11 of 17,3 of 4,0 of 0,86 of 207,31 of 87,1 of 3,2 of 2,0 of 1,8 of 12,Submission,3,1:43,3 Rnd (5-5-5),Jason Herzog,"August 08, 2020","Las Vegas, Nevada, USA",Featherweight Bout,Gavin Tucker,Southpaw,"Jun 17, 1986",4.39,45%,4.28,57%,2.98,42%,53%,1.5,167.64000000000001,145.0,167.64000000000001,Orthodox,"Aug 10, 1989",3.58,42%,6.49,58%,0.0,0%,33%,0.6,170.18,155.0,172.72
Andrew Sanchez,Wellington Turman,1,0,28 of 55,21 of 51,50%,41%,40 of 68,26 of 56,0 of 1,0 of 1,0%,0%,0,0,0,0,1:11,0:00,23 of 48,16 of 40,4 of 6,1 of 7,1 of 1,4 of 4,26 of 53,21 of 51,0 of 0,0 of 0,2 of 2,0 of 0,KO/TKO,1,4:14,3 Rnd (5-5-5),Herb Dean,"August 08, 2020","Las Vegas, Nevada, USA",Middleweight Bout,Andrew Sanchez,Orthodox,"Apr 08, 1988",4.48,42%,5.05,51%,1.92,31%,100%,0.0,185.42000000000002,185.0,187.96,Orthodox,"Jul 22, 1996",2.75,42%,3.71,45%,2.63,35%,100%,0.9,182.88,185.0,182.88
Joanne Calderwood,Jennifer Maia,0,0,26 of 49,20 of 37,53%,54%,33 of 57,31 of 49,1 of 1,0 of 0,100%,---,0,1,0,0,2:11,0:00,6 of 25,16 of 32,9 of 9,3 of 4,11 of 15,1 of 1,24 of 45,18 of 35,0 of 1,2 of 2,2 of 3,0 of 0,Submission,1,4:29,3 Rnd (5-5-5),Jason Herzog,"August 01, 2020","Las Vegas, Nevada, USA",Women's Flyweight Bout,Jennifer Maia,Orthodox,"Dec 23, 1985",6.59,49%,4.4,53%,1.8,55%,58%,0.5,167.64000000000001,125.0,165.1,Orthodox,"Oct 06, 1988",3.34,39%,3.52,52%,0.34,50%,56%,0.2,162.56,125.0,162.56
Johnny Munoz,Nate Maness,0,0,49 of 78,21 of 50,62%,42%,129 of 168,158 of 194,2 of 16,1 of 1,12%,100%,1,0,0,0,9:42,1:29,18 of 34,9 of 37,25 of 36,12 of 13,6 of 8,0 of 0,16 of 40,7 of 34,20 of 21,14 of 16,13 of 17,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"August 01, 2020","Las Vegas, Nevada, USA",Featherweight Bout,Nate Maness,Orthodox,"Feb 16, 1993",3.27,62%,1.4,58%,2.0,12%,0%,1.0,175.26,145.0,180.34,Orthodox,"Jun 27, 1991",2.4,45%,4.63,45%,1.33,66%,88%,0.7,177.8,135.0,182.88
Frankie Saenz,Jonathan Martinez,0,3,39 of 72,79 of 133,54%,59%,52 of 85,88 of 143,1 of 4,1 of 1,25%,100%,0,0,0,0,1:10,0:45,12 of 43,48 of 90,8 of 10,28 of 40,19 of 19,3 of 3,30 of 63,57 of 107,9 of 9,3 of 4,0 of 0,19 of 22,KO/TKO,3,0:57,3 Rnd (5-5-5),Chris Tognoni,"August 01, 2020","Las Vegas, Nevada, USA",Bantamweight Bout,Jonathan Martinez,Orthodox,"Aug 12, 1980",3.94,47%,3.5,52%,1.74,31%,61%,0.1,167.64000000000001,135.0,167.64000000000001,Southpaw,"Apr 20, 1994",4.27,46%,3.81,58%,0.48,37%,63%,0.0,172.72,135.0,177.8
Jamall Emmers,Vince Cachero,0,0,103 of 196,76 of 152,52%,50%,113 of 209,121 of 201,5 of 7,0 of 2,71%,0%,0,0,0,0,5:47,0:28,58 of 143,58 of 127,37 of 44,10 of 15,8 of 9,8 of 10,78 of 164,62 of 132,23 of 30,11 of 17,2 of 2,3 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"August 01, 2020","Las Vegas, Nevada, USA",Featherweight Bout,Jamall Emmers,Orthodox,"Jul 24, 1989",5.75,52%,4.65,54%,2.9,53%,100%,0.0,177.8,145.0,187.96,Orthodox,"Nov 07, 1989",3.29,45%,6.51,43%,0.0,0%,18%,0.5,167.64000000000001,145.0,172.72
Vicente Luque,Randy Brown,2,0,64 of 122,61 of 133,52%,45%,76 of 134,66 of 138,0 of 0,1 of 2,---,50%,0,0,0,0,1:06,0:52,33 of 88,35 of 102,5 of 6,13 of 18,26 of 28,13 of 13,56 of 111,53 of 122,3 of 3,8 of 10,5 of 8,0 of 1,KO/TKO,2,4:56,3 Rnd (5-5-5),Mark Smith,"August 01, 2020","Las Vegas, Nevada, USA",Welterweight Bout,Vicente Luque,Orthodox,"Nov 27, 1991",5.72,53%,5.82,52%,0.68,50%,64%,0.8,180.34,170.0,190.5,Orthodox,"Jul 08, 1990",3.67,47%,2.8,53%,1.0,46%,71%,0.6,190.5,170.0,198.12
Derek Brunson,Edmen Shahbazyan,0,0,88 of 145,35 of 72,60%,48%,107 of 164,38 of 75,4 of 8,0 of 0,50%,---,0,0,0,0,3:06,0:03,58 of 106,17 of 50,15 of 21,18 of 22,15 of 18,0 of 0,53 of 95,26 of 63,9 of 17,9 of 9,26 of 33,0 of 0,KO/TKO,3,0:26,3 Rnd (5-5-5),Herb Dean,"August 01, 2020","Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,Southpaw,"Jan 04, 1984",3.46,47%,2.72,53%,3.11,33%,94%,0.5,185.42000000000002,185.0,195.58,Orthodox,"Nov 20, 1997",3.85,51%,4.31,49%,4.44,40%,58%,0.5,187.96,185.0,187.96
Lando Vannata,Bobby Green,0,1,54 of 127,115 of 195,42%,58%,64 of 139,136 of 219,1 of 2,3 of 3,50%,100%,0,0,0,0,0:27,3:05,31 of 99,67 of 135,16 of 21,20 of 30,7 of 7,28 of 30,45 of 115,89 of 160,9 of 12,11 of 12,0 of 0,15 of 23,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"August 01, 2020","Las Vegas, Nevada, USA",Lightweight Bout,Bobby Green,Orthodox,"Mar 14, 1992",4.58,44%,5.1,54%,1.13,37%,58%,0.4,175.26,155.0,180.34,Orthodox,"Sep 09, 1986",5.17,51%,3.32,63%,1.56,41%,72%,0.3,177.8,155.0,180.34
Alex Oliveira,Peter Sobotta,1,0,45 of 93,29 of 67,48%,43%,48 of 96,30 of 68,0 of 0,0 of 3,---,0%,0,0,0,0,0:26,0:47,19 of 51,13 of 46,16 of 29,7 of 11,10 of 13,9 of 10,37 of 85,29 of 67,7 of 7,0 of 0,1 of 1,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout,Alex Oliveira,Orthodox,"Feb 21, 1988",2.87,50%,2.18,48%,2.41,37%,63%,0.6,180.34,170.0,193.04,Southpaw,"Jan 11, 1987",2.14,40%,2.9,58%,1.53,32%,77%,0.5,182.88,170.0,190.5
Robert Whittaker,Darren Till,1,0,69 of 157,41 of 99,43%,41%,100 of 188,50 of 108,2 of 13,0 of 0,15%,---,0,0,0,0,2:29,0:35,32 of 116,29 of 86,7 of 10,7 of 8,30 of 31,5 of 5,57 of 139,31 of 87,7 of 11,7 of 9,5 of 7,3 of 3,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Middleweight Bout,Robert Whittaker,Orthodox,"Dec 20, 1990",4.52,40%,3.44,60%,0.43,27%,84%,0.0,182.88,185.0,185.42000000000002,Southpaw,"Dec 24, 1992",2.27,46%,2.99,58%,0.54,41%,82%,0.0,182.88,185.0,187.96
Mauricio Rua,Rogerio Nogueira,0,0,54 of 103,46 of 100,52%,46%,78 of 129,75 of 129,2 of 4,0 of 0,50%,---,0,0,0,0,2:57,1:21,27 of 72,39 of 91,11 of 14,7 of 9,16 of 17,0 of 0,45 of 91,41 of 95,6 of 6,1 of 1,3 of 6,4 of 4,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Light Heavyweight Bout,Mauricio Rua,Orthodox,"Nov 25, 1981",3.57,50%,2.71,54%,2.12,48%,47%,0.8,185.42000000000002,205.0,193.04,Southpaw,"Jun 02, 1976",2.43,35%,2.34,59%,0.64,44%,62%,0.8,187.96,205.0,190.5
Francisco Trinaldo,Jai Herbert,1,1,30 of 58,21 of 70,51%,30%,37 of 66,37 of 90,2 of 3,0 of 0,66%,---,2,0,1,0,3:18,3:20,15 of 35,15 of 63,7 of 14,4 of 5,8 of 9,2 of 2,19 of 45,16 of 61,3 of 4,5 of 6,8 of 9,0 of 3,KO/TKO,3,1:30,3 Rnd (5-5-5),Herb Dean,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Francisco Trinaldo,Southpaw,"Aug 24, 1978",3.11,44%,2.56,60%,1.09,46%,61%,0.6,175.26,155.0,177.8,Orthodox,"May 13, 1988",1.83,30%,2.61,48%,0.0,0%,33%,0.0,185.42000000000002,155.0,195.58
Carla Esparza,Marina Rodriguez,0,0,33 of 60,40 of 76,55%,52%,118 of 152,91 of 129,5 of 9,0 of 0,55%,---,1,0,0,0,8:54,1:04,29 of 56,34 of 70,3 of 3,0 of 0,1 of 1,6 of 6,4 of 16,15 of 38,1 of 1,0 of 1,28 of 43,25 of 37,Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Strawweight Bout,Carla Esparza,Orthodox,"Oct 10, 1987",2.29,42%,2.85,53%,3.44,35%,48%,0.3,154.94,115.0,160.02,Orthodox,"Apr 29, 1987",4.86,50%,3.16,53%,0.36,33%,59%,0.2,167.64000000000001,115.0,165.1
Khamzat Chimaev,Rhys McKee,0,0,40 of 62,0 of 0,64%,---,68 of 98,0 of 0,1 of 2,0 of 0,50%,---,1,0,0,0,2:59,0:00,40 of 62,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,40 of 61,0 of 0,KO/TKO,1,3:09,3 Rnd (5-5-5),Rich Mitchell,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout,Khamzat Chimaev,Orthodox,"May 01, 1994",9.03,72%,0.1,66%,4.67,75%,0%,3.1,187.96,170.0,190.5,Orthodox,"Sep 10, 1995",6.83,53%,11.9,43%,0.0,0%,20%,0.0,187.96,170.0,198.12
Paul Craig,Gadzhimurad Antigulov,0,0,2 of 5,11 of 16,40%,68%,4 of 7,16 of 22,0 of 0,1 of 2,---,50%,1,0,0,0,0:00,1:41,2 of 5,9 of 14,0 of 0,2 of 2,0 of 0,0 of 0,2 of 5,1 of 2,0 of 0,0 of 0,0 of 0,10 of 14,Submission,1,2:06,3 Rnd (5-5-5),Marc Goddard,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Light Heavyweight Bout,Paul Craig,Orthodox,"Nov 27, 1987",2.4,49%,2.43,49%,2.11,26%,55%,1.5,190.5,205.0,193.04,Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4,180.34,205.0,177.8
Tom Aspinall,Jake Collier,1,0,10 of 10,3 of 9,100%,33%,10 of 10,3 of 9,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,7 of 7,1 of 7,1 of 1,0 of 0,2 of 2,2 of 2,9 of 9,3 of 9,0 of 0,0 of 0,1 of 1,0 of 0,KO/TKO,1,0:45,3 Rnd (5-5-5),Daniel Movahedi,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Heavyweight Bout,Tom Aspinall,Orthodox,"Apr 11, 1993",7.43,66%,3.06,65%,3.54,100%,0%,1.8,195.58,256.0,198.12,Orthodox,"Oct 25, 1988",4.92,41%,4.09,53%,0.57,23%,67%,0.4,190.5,230.0,198.12
Tanner Boser,Raphael Pessoa,0,0,43 of 60,12 of 36,71%,33%,43 of 60,13 of 37,0 of 0,0 of 1,---,0%,0,0,0,0,0:06,0:00,15 of 31,6 of 28,7 of 7,2 of 2,21 of 22,4 of 6,34 of 48,12 of 35,0 of 0,0 of 1,9 of 12,0 of 0,KO/TKO,2,2:36,3 Rnd (5-5-5),Herb Dean,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Heavyweight Bout,Tanner Boser,Orthodox,"Aug 02, 1991",4.54,55%,2.7,63%,0.0,0%,100%,0.0,187.96,255.0,190.5,Orthodox,"Mar 09, 1989",2.16,26%,3.43,42%,0.0,0%,100%,0.0,190.5,262.0,198.12
Movsar Evloev,Mike Grundy,0,0,79 of 150,20 of 66,52%,30%,96 of 173,25 of 80,0 of 0,6 of 15,---,40%,0,1,0,0,0:48,2:35,53 of 120,11 of 53,13 of 14,9 of 12,13 of 16,0 of 1,72 of 142,18 of 64,7 of 8,1 of 1,0 of 0,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Featherweight Bout,Movsar Evloev,Orthodox,"Feb 11, 1994",4.7,44%,2.83,64%,2.75,37%,70%,0.0,170.18,145.0,182.88,Orthodox,"Jan 03, 1987",2.15,43%,4.09,58%,4.25,38%,100%,0.6,170.18,145.0,182.88
Ramazan Emeev,Niklas Stolze,0,0,29 of 67,30 of 72,43%,41%,67 of 114,41 of 85,4 of 12,1 of 1,33%,100%,2,0,0,0,6:50,0:21,22 of 59,13 of 42,5 of 5,3 of 7,2 of 3,14 of 23,19 of 54,27 of 66,7 of 9,1 of 3,3 of 4,2 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout,Ramazan Emeev,Southpaw,"May 23, 1987",2.5,45%,1.98,66%,2.33,29%,66%,0.5,177.8,170.0,193.04,Switch,"Dec 28, 1992",2.0,41%,1.93,56%,1.0,100%,66%,0.0,185.42000000000002,170.0,187.96
Bethe Correia,Pannie Kianzad,0,0,56 of 143,103 of 199,39%,51%,83 of 178,106 of 205,1 of 5,0 of 0,20%,---,0,0,0,0,2:01,0:05,40 of 117,76 of 168,14 of 20,10 of 14,2 of 6,17 of 17,46 of 126,97 of 191,9 of 15,6 of 8,1 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Bantamweight Bout,Pannie Kianzad,Orthodox,"Jun 22, 1983",4.39,44%,4.56,58%,0.44,20%,84%,0.0,165.1,135.0,162.56,Orthodox,"Dec 08, 1991",5.14,49%,3.62,57%,0.22,14%,83%,0.2,170.18,135.0,167.64000000000001
Nathaniel Wood,John Castaneda,0,0,131 of 232,55 of 130,56%,42%,136 of 240,66 of 141,1 of 3,0 of 1,33%,0%,0,0,0,0,0:49,0:11,59 of 143,35 of 108,14 of 22,6 of 7,58 of 67,14 of 15,123 of 221,53 of 128,8 of 11,2 of 2,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Bantamweight Bout,Nathaniel Wood,Orthodox,"May 08, 1993",6.28,46%,4.36,53%,1.29,46%,75%,0.9,167.64000000000001,140.0,175.26,Switch,"Dec 18, 1991",4.17,49%,5.07,55%,0.86,25%,60%,0.0,167.64000000000001,135.0,180.34
Joe Duffy,Joel Alvarez,0,0,14 of 26,18 of 37,53%,48%,14 of 26,18 of 37,1 of 1,0 of 0,100%,---,0,1,0,0,0:09,0:00,6 of 16,7 of 24,4 of 5,3 of 4,4 of 5,8 of 9,14 of 26,18 of 36,0 of 0,0 of 1,0 of 0,0 of 0,Submission,1,2:25,3 Rnd (5-5-5),Marc Goddard,"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Joel Alvarez,Orthodox,"Feb 18, 1988",2.68,34%,3.78,54%,0.96,66%,64%,0.7,177.8,155.0,185.42000000000002,Orthodox,"Mar 02, 1994",2.84,37%,3.31,53%,0.0,0%,0%,1.6,190.5,155.0,195.58
